#,Player,Team,Agents,Maps,K,D,A,KD,KDA,ACS/Map,K/Map,D/Map,A/Map
50,South Korea yoman,Gen.G Esports | Gen.G Esports,Fade | Sova | Breach,14,185,185,93,1,1.5,172,13.2,13.2,6.6
51,South Korea stax,T1 | T1,Sova | Breach | KAY/O,22,292,314,190,0.92,1.53,170,13.2,14.2,8.6
52,South Korea Jinboong,DetonatioN FocusMe | DetonatioN FocusMe,Astra | Cypher | Killjoy,9,111,121,41,0.91,1.25,169,12.3,13.4,4.5
53,Indonesia mindfreak,Paper Rex | Paper Rex,Brimstone | Omen | Astra,7,82,99,62,0.82,1.45,168,11.7,14.1,8.8
54,Japan gyen,DetonatioN FocusMe | DetonatioN FocusMe,Omen | Astra,9,110,122,51,0.9,1.31,168,12.2,13.5,5.6
55,Philippines 2GE,Team Secret | Team Secret,Omen | Astra,6,63,78,37,0.8,1.28,166,10.5,13,6.1
56,Philippines Wild0reoo,Team Secret | Team Secret,Killjoy | Skye | Viper,6,59,78,16,0.75,0.96,164,9.8,13,2.6
57,South Korea BeYN,DRX | DRX,Sova | Breach | Fade,13,165,187,118,0.88,1.51,160,12.6,14.3,9
58,Singapore Deryeon,Global Esports | Global Esports,Cypher | Chamber | Killjoy,8,95,107,29,0.88,1.15,155,11.8,13.3,3.6
59,Indonesia NcSlasher,BOOM Esports | BOOM Esports,Fade | Breach,6,64,90,40,0.71,1.15,148,10.6,15,6.6
60,Thailand Crws,TALON | TALON,Fade | Breach | Skye,11,107,151,68,0.7,1.15,146,9.7,13.7,6.1
61,Japan CLZ,ZETA DIVISION | ZETA DIVISION,Breach,4,41,63,27,0.65,1.07,142,10.2,15.7,6.7
