#,Player,Team,Agents,Maps,K,D,A,KD,KDA,ACS/Map,K/Map,D/Map,A/Map
52,Poland westside,GIANTX | GIANTX,Killjoy | Viper,8,101,129,42,0.78,1.1,164,12.6,16.1,5.2
53,United Kingdom benjyfishy,Team Heretics | Team Heretics,Killjoy | Cypher | Tejo,10,109,136,39,0.8,1.08,162,10.9,13.6,3.9
54,Lithuania Boo,Team Heretics | Team Heretics,Astra | Omen | KAY/O,10,102,134,102,0.76,1.52,156,10.2,13.4,10.2
55,Turkey batujnax,Apeks | Apeks,Sova | Yoru,3,38,52,17,0.73,1.05,156,12.6,17.3,5.6
56,United States crashies,Fnatic | Fnatic,Sova | Breach,10,119,131,49,0.9,1.28,155,11.9,13.1,4.9
57,Russia Sheydos,KOI | KOI,Tejo | Sova,6,63,84,22,0.75,1.01,154,10.5,14,3.6
58,Netherlands RobbieBk,Gentle Mates | Gentle Mates,Sova | Fade | Tejo,10,95,124,56,0.76,1.21,154,9.5,12.4,5.6
59,Lithuania vakk,BBL Esports | BBL Esports,Vyse | Cypher | Astra,11,135,175,60,0.77,1.11,151,12.2,15.9,5.4
60,Poland MOLSI,Apeks | Apeks,Breach | KAY/O | Sova,5,55,79,51,0.69,1.34,150,11,15.8,10.2
61,Ukraine ANGE1,Natus Vincere | Natus Vincere,KAY/O | Sova | Fade,6,60,95,38,0.63,1.03,148,10,15.8,6.3
