Map,Atk Wins,Def Wins
Abyss,137 (61.4%),86 (38.6%)
Bind,99 (56.9%),75 (43.1%)
Fracture,103 (46.2%),120 (53.8%)
Haven,92 (47.7%),101 (52.3%)
Lotus,77 (55.8%),61 (44.2%)
Pearl,95 (50.0%),95 (50.0%)
Split,58 (55.2%),47 (44.8%)
