Map,Atk Wins,Def Wins
Abyss,90 (54.5%),75 (45.5%)
Bind,108 (54.8%),89 (45.2%)
Fracture,94 (49.0%),98 (51.0%)
Haven,84 (56.4%),65 (43.6%)
Lotus,139 (47.9%),151 (52.1%)
Pearl,99 (59.3%),68 (40.7%)
Split,80 (43.2%),105 (56.8%)
