Map,Atk Wins,Def Wins
Abyss,128 (52.9%),114 (47.1%)
Bind,81 (41.3%),115 (58.7%)
Fracture,63 (49.2%),65 (50.8%)
Haven,100 (54.9%),82 (45.1%)
Lotus,96 (49.7%),97 (50.3%)
Pearl,89 (54.3%),75 (45.7%)
Split,26 (41.9%),36 (58.1%)
